,company_brand,founded,headquarter,sector,what_it_does,investor,amount($),stage,year
160,Uolo,2013,Bangalore,EdTech,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,"Rajul Garg, Purvi Capital",2000000,Seed,2020
161,Kirana King,2014,"Jaipur, Rajastan",Retail,"A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",Rajasthan Venture Capital Fund,900000,Pre-series A,2020
162,Jade Forest,2016,Delhi,Beverages,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.",Rukam Capital,250000,Seed,2020
163,iKure,2010,Kolkata,HealthTech,iKure is a social enterprise that delivers primary healthcare and wellness & prevention services to communities in India,"Ratan Tata, Inflection Point Ventures, Ankur Mittal",3000000,Venture - Series Unknown,2020
164,FrontRow,2016,Bangalore,EdTech,"Comprehensive courses, taught by idols.","Lightspeed, Elevation, Deepika Padukone",3200000,Seed,2020
165,Reliance Retail,2006,Mumbai,E-commerce,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,"Abu Dhabi Investment Authority, GIC",10000000,Venture - Series Unknown,2020
166,TUBBR,2019,"Frisco, Texas, United States",Social Media,World's First Personal Social Network,Global Ascent Partners,3000000,Venture - Series Unknown,2020
167,Ather Energy,2013,Bangalore,Automobiles,Ather Energy is a manufacturer of electric scooters.,HeroMotoCorp Ltd and Sachin Bansal,35000000,Series D,2020
168,Routematic,2007,Bangalore,SaaS startup,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,"VAMM Ventures, Naresh Malhotra",2000000,Venture - Series Unknown,2020
169,LivFin,2017,New Delhi,FinTech,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),"DEG, KFW DEG",4700000,Venture - Series Unknown,2020
170,Universal Sportsbiz Pvt Ltd,2012,Bangalore,Fashion startup,A fashion startup based in Bengaluru.,"Accel, Alteria Capital",3000000,Venture - Series Unknown,2020
171,Lattu Kids,2017,Mumbai,EdTech,Lattu kids is an edutainment platform for preschool kids.,Mumbai Angels Network,3000000,Venture - Series Unknown,2020
172,Eggoz,2016,Indore,Food & Bevarages,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.","AVANA Capital, Rebright Partners",1500000,Pre-series A,2020
173,Steradian Semiconductors,2016,Bangalore,Deeptech,Semiconductor company focused on CMOS millimeter wave products for Radar.,Endiya Partners.,3000000,Venture - Series Unknown,2020
174,CHARGE+ZONE,2018,Gujarat,EV startup,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.",Mumbai Angels,3000000,Pre-series A,2020
175,Stones2milestones,2008,Gurugram,EdTech,Stones2milestones is India (Delhi) Based EdTech Company,"Menterra Venture Advisors, Emandi Sankara Rao",2000000,Bridge,2020
176,Udacity,2011,California,EdTech,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.","Hercules Capital, Inc.Bertelsmann",75000000,Debt,2020
177,AjnaLens,2014,Thane,AR/VR startup,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.","Mohsin Hani Al Bahrani, MoD",1000000,Bridge,2020
178,Gully Network,2019,Bangalore,E-commerce,Gully Network is a tech-enabled network of mid-sized grocery stores.,"CP Ventures, Orios Venture Partners",1200000,Pre-series A,2020
179,TurboHire,2018,Hyderabad,Recruitment startup,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,"Kia Ora Ventures, Pentathlon Ventures",1000000,Seed,2020
180,Traya,2016,Mumbai,HealthTech,work with our customers closely to get their hair health sorted for long-term effective results,"Kae Capital, Whiteboard Capital",3000000,Seed,2020
181,Charcoal Eats,2015,Mumbai,QSR startup,"In the last five years, have served over 1.5 million orders and enjoy high customer satisfaction.",Lokmat Investments,2000000,Venture - Series Unknown,2020
182,Mitron TV,2020,Bangalore,Video platform,Mitron is a free short videoplatform for next generation,9Unicorns,3000000,Venture - Series Unknown,2020
183,Svami,2016,Mumbai,Food & Bevarages,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,"Niren Shah, Rukam Capital Trust",800000,Venture - Series Unknown,2020
184,Dhurnia,2018,"Dhingsara, Haryana",EdTech,Developer of an online learning platform intended for various competitive exam preparations.,"Chandigarh Angels Network, Modulor Capital",100000,Venture - Series Unknown,2020
